epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1079.01,0.6065,0.89825,1.08254,0.96212,0.95371,0.98099,0.82737,0.66002,0.47607,1.10513,5.3248e-05,5.3248e-05,5.3248e-05
42,1103.38,0.59641,0.86695,1.07532,0.97241,0.93666,0.98003,0.82379,0.66501,0.47461,1.11568,4.81792e-05,4.81792e-05,4.81792e-05
43,1127.37,0.58825,0.84352,1.08534,0.97098,0.94863,0.98199,0.83109,0.64317,0.45577,1.09475,4.31104e-05,4.31104e-05,4.31104e-05
44,1151.32,0.57978,0.82059,1.06901,0.95478,0.95707,0.98196,0.82922,0.64622,0.43908,1.09998,3.80416e-05,3.80416e-05,3.80416e-05
45,1175.89,0.5751,0.80407,1.06078,0.97282,0.94364,0.98165,0.83821,0.63363,0.44587,1.09631,3.29728e-05,3.29728e-05,3.29728e-05
46,1200.48,0.57255,0.79834,1.05473,0.95804,0.95966,0.97976,0.82914,0.63646,0.4409,1.09488,2.7904e-05,2.7904e-05,2.7904e-05
47,1225.08,0.56239,0.79359,1.05952,0.96272,0.95816,0.98039,0.83383,0.63378,0.42926,1.08695,2.28352e-05,2.28352e-05,2.28352e-05
48,1249.79,0.55656,0.77189,1.04377,0.96223,0.95869,0.98261,0.83724,0.6275,0.42431,1.08321,1.77664e-05,1.77664e-05,1.77664e-05
49,1274.42,0.55179,0.76927,1.04699,0.96076,0.9591,0.98189,0.8362,0.62637,0.42657,1.08095,1.26976e-05,1.26976e-05,1.26976e-05
50,1299.12,0.55242,0.76282,1.0319,0.96365,0.9609,0.98221,0.83973,0.62073,0.42231,1.07693,7.6288e-06,7.6288e-06,7.6288e-06
